ticker,name,sector,currency,price,fair_value,fair_value_method,pe,pb,div_yield,roe,roic,net_margin,debt_to_equity,fcf_yield,eps_growth_5y,earnings_consistency,moat_rating,moat_sources,circle_of_competence,moat_summary,description,products_customers,dcf_eps0,dcf_growth,dcf_discount,dcf_terminal_pe,div_growth,eps_history_10y,shares
NDA-SE,Nordea,Banking,SEK,152,175,Dividend discount + normalized ROE,9.2,1.35,6.3,15.8,,38,,,9,7,3,Scale;Switching costs;Regulatory barriers,yes,"Largest bank in the Nordics with dominant retail and corporate share in four countries. Switching costs on mortgages, corporate lending relationships and pension flows are real, but banking moats are shallow: products are commodities and challengers compress fees. Scale and funding-cost advantage sustain above-peer ROE.","Pan-Nordic universal bank headquartered in Helsinki, listed in Stockholm. Serves ~10 million personal customers and ~500,000 corporates across Sweden, Finland, Norway and Denmark.","Mortgages, household lending, savings and pension products for retail customers; cash management, lending and capital markets services for Nordic corporates and institutions.",15.2,4,10,9,3,8.5;7.6;7.8;4.2;5.6;9.4;10.8;14.2;14.8;15.2,120
AXFO,Axfood,Grocery retail,SEK,250,265,Owner-earnings DCF 6% growth,19.5,5.8,3.4,30,15,3.2,0.6,4.5,6,9,3.5,Cost leadership;Scale;Store network,yes,"Willys is Sweden's price-leading discount grocer — a genuine low-cost moat that widens in downturns. Dense logistics, private labels (Garant, Eldorado) and store network create scale economies smaller rivals cannot match. Thin margins are the moat: too thin for new entrants to undercut.","Sweden's second-largest food retail group. Runs discount chain Willys, mid-market Hemköp, B2B wholesaler Snabbgross and e-grocery via Mathem stake.","Everyday groceries for Swedish households — discount-focused shoppers at Willys, convenience at Hemköp; food wholesale to restaurants and cafés via Snabbgross.",12.8,6,9,16,6,6.2;6.7;7.1;7.6;8.4;8.9;9.6;10.6;11.6;12.8,40
8TRA,TRATON,Heavy trucks,SEK,390,480,Cyclically-adjusted earnings x 10,6.8,1.1,4.4,15,8,5.5,2.9,6,10,5,3,Brands;Service network;Dealer density,yes,"Scania is one of the world's most profitable truck brands with premium pricing and industry-leading margins; MAN and Navistar dilute that quality. Moat rests on brand, drivetrain technology and a dense service network — trucks are bought on total cost of ownership, favoring incumbents. Deeply cyclical.","Volkswagen-controlled truck group uniting Scania, MAN, Navistar (US) and Volkswagen Truck & Bus (Brazil). One of the world's three largest heavy-truck makers.","Heavy trucks, buses and services (financing, maintenance contracts, connected-fleet software) sold to haulage firms, logistics operators and public transport authorities worldwide.",55,2.5,11,7,4,30;38;46;12;24;49;54;69;62;57,25
INVE-B,Investor,Investment company,SEK,310,345,Discount to reported NAV,,,1.6,13,,,,,8,8,4,Ownership of moaty assets;Permanent capital;Wallenberg network,yes,"A moat built of other moats: controlling stakes in Atlas Copco, ABB, AstraZeneca, Epiroc, SEB and unlisted Mölnlycke. Permanent capital and a century of Wallenberg governance let it act counter-cyclically. Buying at a NAV discount is buying quality compounders below intrinsic value.","The Wallenberg family's listed investment company, founded 1916. Core holdings span Nordic industrial and healthcare champions plus wholly-owned Patricia Industries.","Long-term ownership and active governance of listed champions (Atlas Copco, ABB, Ericsson, AstraZeneca) and unlisted companies (Mölnlycke wound care) — the product is compounding, delivered to shareholders.",24,8,9,14,9,nav:130;150;145;170;210;260;235;270;300;352,45
SCA-B,SCA,Forest products,SEK,145,160,Net asset value of forest + industry,21,1.1,2.1,6.5,5,15,0.35,3,4,6,3.5,Irreplaceable assets;Cost position;Vertical integration,yes,"Europe's largest private forest owner — 2.7 million hectares that cannot be replicated at any price. Self-sufficient in wood gives the lowest cost position in pulp, containerboard and timber. Earnings are cyclical but the asset base grows biologically every year regardless of markets.","Forest industry company in northern Sweden owning vast forestland and integrated mills for pulp, containerboard, solid wood and renewable energy.","Kraftliner (packaging paper) to European box makers, market pulp to tissue and paper producers, construction timber to builders and retail, plus wind-lease and biofuel income from the forest estate.",7.5,3,8,18,4,4.5;6.0;9.1;7.3;5.2;12.4;14.0;6.1;4.8;6.9,70
SKA-B,Skanska,Construction,SEK,235,240,Sum of parts: construction + development,13,1.6,3.6,13,9,2.8,0.5,5,4,5,1.5,Scale;Project references,yes,"Construction is a brutally competitive, low-margin bidding business with little pricing power — close to no moat. Skanska's edge is scale, balance-sheet strength and references for complex projects, plus a value-creating US and Nordic property development arm. Buffett would admire the balance sheet, not the business.","One of the world's largest construction and project development groups, with major operations in the Nordics, Europe and the United States.","Buildings, highways, bridges and infrastructure for public and private clients; commercial property and residential development sold to investors and homebuyers.",18,3,10,10,3,14;15;12;17;18;20;15;12;14;18,30
SECT-B,Sectra,Medical IT & cybersecurity,SEK,285,210,Owner-earnings DCF 12% growth,56,18,0.4,33,28,17,0.1,1.5,18,9,4.5,Switching costs;Recurring revenue;Regulatory certification,yes,"Hospital imaging (PACS) systems are mission-critical and painful to replace — contracts run 5–10 years with near-100% renewal, and Sectra tops global customer-satisfaction rankings year after year. Add certified eavesdropping-proof communication for EU/NATO governments. A genuinely wonderful business — currently at a demanding price.",Swedish medical imaging IT and cybersecurity company. World leader in enterprise imaging (radiology/pathology PACS) and secure communications for European authorities.,Diagnostic imaging software sold to hospitals and health systems (radiologists are the daily users); encrypted phones and secure network products for defence and government agencies.,5.1,12,9,28,12,1.4;1.7;2.0;2.4;2.8;3.2;3.7;4.2;4.7;5.1,35
FLAT-B,Flat Capital,Investment company,SEK,14,11,Premium/discount to NAV,,,0,,,,,,,2,1,Founder network;Access to deals,no,"The moat is Sebastian Siemiatkowski's network — access to hot private tech deals ordinary investors can't reach. But unlisted holdings are opaque, valuations are stale, and the stock often trades above NAV. Fails Buffett's tests: no earnings, no predictability, price above intrinsic value.","Investment company founded by Klarna founder Sebastian Siemiatkowski and Nina Siemiatkowski, holding stakes in private tech companies including OpenAI, Klarna and other growth ventures.",Exposure to a portfolio of mostly unlisted technology companies — the 'product' for shareholders is access to late-stage venture deals via a listed wrapper.,,,,,,nav:8;9;11;10;12;12.2,200
ACCON,Acconeer,Semiconductors,SEK,4.5,3,Speculative — no earnings to anchor,,,0,,,-80,,,,1,1,Patents;Design wins,no,"Unique pulsed coherent radar technology protected by patents, and design wins take years for competitors to displace once in a product. But the company has never made a profit, burns cash, and depends on a few large customer ramps. Technology moat without economics is not a Buffett moat.","Lund-based fabless semiconductor company making ultra-low-power 60 GHz radar sensors for presence detection, gesture control and distance measurement.","Millimeter-size radar chips sold to consumer-electronics, automotive and IoT manufacturers — end uses include laptops (user presence), smart locks, parking sensors and health monitoring.",,,,,,-0.9;-0.8;-0.8;-0.7;-0.6;-0.5;-0.5;-0.4;-0.3;-0.25,500
MIDS,Midsummer,Solar energy,SEK,1.2,0.8,Speculative — no earnings to anchor,,,0,,,-60,,,,1,0.5,Niche technology,no,"Thin-film CIGS technology for buildings that can't bear heavy silicon panels is a real niche, but the company has a history of losses, repeated dilution and dependence on subsidies and project timing. No pricing power, no earnings, no margin of safety at any price Buffett would recognize.","Swedish developer and manufacturer of lightweight, flexible thin-film solar panels and the DUO turnkey manufacturing equipment, with factories in Sweden and Italy.","Building-integrated solar roofs (Solar Roof, Bold, Wave) for property owners with weight-limited or design-sensitive roofs; DUO production lines sold to would-be panel manufacturers.",,,,,,-0.4;-0.5;-0.3;-0.6;-0.8;-0.7;-0.9;-0.6;-0.5;-0.45,2000
ERIC-B,Ericsson,Telecom equipment,SEK,95,105,Normalized earnings x 12,14.5,2.1,2.9,14,10,7.5,0.45,6,5,4,3,Patents;Oligopoly;Installed base,yes,"A three-player global oligopoly (with Nokia and Huawei) in mobile networks, a 60,000-patent portfolio generating high-margin licensing income, and an installed base operators upgrade rather than replace. Offset by lumpy operator capex cycles, thin margins and a history of value-destroying acquisitions (Vonage).","One of the world's largest suppliers of mobile network equipment and services, powering a large share of global 5G traffic. Headquartered in Stockholm.","Radio access networks, core networks and managed services sold to telecom operators (Verizon, AT&T, Vodafone and hundreds more); patent licensing to smartphone makers; enterprise 5G solutions.",6.5,3,10,11,2,1.1;-2.4;-1.9;0.7;2.2;5.0;7.9;-8.0;0.4;6.6,110
AZN,AstraZeneca,Pharmaceuticals,SEK,1600,1850,Pipeline-adjusted DCF 8% growth,26,6,2,22,14,15,0.75,3.5,13,8,4.5,Patents;Pipeline;Regulatory barriers;Distribution,yes,"Patents grant legal monopolies on blockbuster oncology and rare-disease drugs, and the R&D machine keeps refilling the pipeline (top-3 industry pipeline by projected value). Regulatory approval barriers and global distribution deepen the moat. Patent cliffs are the eternal counterweight — the moat must be rebuilt drug by drug.","Anglo-Swedish global biopharmaceutical company focused on oncology, cardiovascular, renal, metabolic, respiratory and rare diseases. Stockholm-listed SDB.","Prescription medicines (Tagrisso, Imfinzi, Farxiga, Ultomiris) prescribed by physicians and paid for by health systems and insurers worldwide — patients are the end users across 100+ countries.",67,8,9,18,6,28;26;24;31;35;12;39;52;60;67,8
